new_event_id,date,daily_eps,daily_minpts,workbook_n_clusters,reproduced_n_clusters,match
37,2021-07-03,3.6666666666666665,9,2,2,1
37,2021-07-04,3.6666666666666665,9,1,1,1
37,2021-07-05,3.6666666666666665,9,2,2,1
37,2021-07-06,3.6666666666666665,9,2,2,1
37,2021-07-07,3.6666666666666665,9,2,2,1
37,2021-07-08,3.6666666666666665,9,2,2,1
38,2021-07-18,3.4615384615384617,8,1,1,1
38,2021-07-19,3.4615384615384617,8,1,1,1
38,2021-07-20,3.4615384615384617,8,1,1,1
38,2021-07-21,3.4615384615384617,8,1,1,1
39,2021-07-26,3.5476190476190474,8,3,3,1
39,2021-07-27,3.5476190476190474,8,2,2,1
39,2021-07-28,3.5476190476190474,8,3,3,1
40,2021-07-31,3.5681818181818183,8,3,3,1
40,2021-08-01,3.5681818181818183,8,2,2,1
40,2021-08-02,3.5681818181818183,8,3,3,1
40,2021-08-03,3.5681818181818183,8,3,3,1
40,2021-08-04,3.5681818181818183,8,2,2,1
40,2021-08-05,3.5681818181818183,8,2,2,1
40,2021-08-06,3.5681818181818183,8,2,2,1
40,2021-08-07,3.5681818181818183,8,2,2,1
40,2021-08-08,3.5681818181818183,8,2,2,1
40,2021-08-09,3.5681818181818183,8,5,5,1
41,2021-08-28,3.7666666666666666,8,1,1,1
42,2022-07-19,3.05,8,2,2,1
42,2022-07-20,3.05,8,4,4,1
42,2022-07-21,3.05,8,2,2,1
42,2022-07-22,3.05,8,3,3,1
42,2022-07-23,3.05,8,4,4,1
43,2023-07-12,2.84,8,4,4,1
44,2023-07-15,3.764705882352941,9,1,1,1
44,2023-07-16,3.764705882352941,9,1,1,1
44,2023-07-17,3.764705882352941,9,2,2,1
44,2023-07-18,3.764705882352941,9,1,1,1
44,2023-07-19,3.764705882352941,9,1,1,1
44,2023-07-20,3.764705882352941,9,1,1,1
44,2023-07-21,3.764705882352941,9,1,1,1
44,2023-07-22,3.764705882352941,9,3,3,1
44,2023-07-23,3.764705882352941,9,1,1,1
44,2023-07-24,3.764705882352941,9,1,1,1
44,2023-07-25,3.764705882352941,9,1,1,1
44,2023-07-26,3.764705882352941,9,1,1,1
44,2023-07-27,3.764705882352941,9,1,1,1
44,2023-07-28,3.764705882352941,9,2,2,1
44,2023-07-29,3.764705882352941,9,2,2,1
44,2023-07-30,3.764705882352941,9,4,4,1
44,2023-07-31,3.764705882352941,9,4,4,1
44,2023-08-01,3.764705882352941,9,4,4,1
44,2023-08-02,3.764705882352941,9,4,4,1
44,2023-08-03,3.764705882352941,9,2,2,1
44,2023-08-04,3.764705882352941,9,1,1,1
44,2023-08-05,3.764705882352941,9,1,1,1
44,2023-08-06,3.764705882352941,9,1,1,1
44,2023-08-07,3.764705882352941,9,1,1,1
44,2023-08-08,3.764705882352941,9,2,2,1
44,2023-08-09,3.764705882352941,9,1,1,1
44,2023-08-10,3.764705882352941,9,2,2,1
44,2023-08-11,3.764705882352941,9,2,2,1
45,2023-08-13,3.733333333333333,9,1,1,1
45,2023-08-14,3.733333333333333,9,1,1,1
45,2023-08-15,3.733333333333333,9,1,1,1
45,2023-08-16,3.733333333333333,9,1,1,1
45,2023-08-17,3.733333333333333,9,2,2,1
45,2023-08-18,3.733333333333333,9,1,1,1
45,2023-08-19,3.733333333333333,9,1,1,1
45,2023-08-20,3.733333333333333,9,1,1,1
45,2023-08-21,3.733333333333333,9,1,1,1
45,2023-08-22,3.733333333333333,9,1,1,1
45,2023-08-23,3.733333333333333,9,2,2,1
45,2023-08-24,3.733333333333333,9,1,1,1
45,2023-08-25,3.733333333333333,9,1,1,1
45,2023-08-26,3.733333333333333,9,1,1,1
45,2023-08-27,3.733333333333333,9,1,1,1
45,2023-08-28,3.733333333333333,9,2,2,1
46,2024-05-20,3.647058823529412,11,2,2,1
46,2024-05-21,3.647058823529412,11,2,2,1
46,2024-05-22,3.647058823529412,11,2,2,1
46,2024-05-23,3.647058823529412,11,2,2,1
