date,method,eps,min_samples,n_components,n_noise
1987-07-25,A,1.5,12,0,502
1987-07-25,A,2.0,4,3,5
1987-07-25,A,2.0,5,2,9
1987-07-25,A,2.0,6,1,14
1987-07-25,A,2.0,7,2,16
1987-07-25,A,2.0,8,2,18
1987-07-25,A,2.0,9,3,27
1987-07-25,A,2.0,10,3,33
1987-07-25,A,2.0,11,3,40
1987-07-25,A,2.0,12,4,55
1987-07-25,A,2.5,4,3,2
1987-07-25,A,2.5,5,2,6
1987-07-25,A,2.5,6,1,12
1987-07-25,A,2.5,7,1,13
1987-07-25,A,2.5,8,1,13
1987-07-25,A,2.5,9,1,13
1987-07-25,A,2.5,10,1,13
1987-07-25,A,2.5,11,2,14
1987-07-25,A,2.5,12,2,18
1987-07-25,A,3.0,4,3,2
1987-07-25,A,3.0,5,2,6
1987-07-25,A,3.0,6,1,12
1987-07-25,A,3.0,7,1,12
1987-07-25,A,3.0,8,1,12
1987-07-25,A,3.0,9,1,12
1987-07-25,A,3.0,10,1,12
1987-07-25,A,3.0,11,1,12
1987-07-25,A,3.0,12,1,12
1987-07-25,A,3.5,4,2,1
1987-07-25,A,3.5,5,1,5
1987-07-25,A,3.5,6,1,5
1987-07-25,A,3.5,7,1,10
1987-07-25,A,3.5,8,1,10
1987-07-25,A,3.5,9,1,11
1987-07-25,A,3.5,10,1,11
1987-07-25,A,3.5,11,1,11
1987-07-25,A,3.5,12,1,11
1987-07-25,A,4.0,4,2,1
1987-07-25,A,4.0,5,1,5
1987-07-25,A,4.0,6,1,5
1987-07-25,A,4.0,7,1,5
1987-07-25,A,4.0,8,1,5
1987-07-25,A,4.0,9,1,8
1987-07-25,A,4.0,10,1,9
1987-07-25,A,4.0,11,1,9
1987-07-25,A,4.0,12,1,10
1987-07-26,A,1.0,4,6,14
1987-07-26,A,1.0,5,4,63
1987-07-26,A,1.0,6,0,520
1987-07-26,A,1.0,7,0,520
1987-07-26,A,1.0,8,0,520
1987-07-26,A,1.0,9,0,520
1987-07-26,A,1.0,10,0,520
1987-07-26,A,1.0,11,0,520
1987-07-26,A,1.0,12,0,520
1987-07-26,A,1.5,4,4,6
1987-07-26,A,1.5,5,4,8
1987-07-26,A,1.5,6,5,17
1987-07-26,A,1.5,7,4,30
1987-07-26,A,1.5,8,3,44
1987-07-26,A,1.5,9,4,75
1987-07-26,A,1.5,10,0,520
1987-07-26,A,1.5,11,0,520
1987-07-26,A,1.5,12,0,520
1987-07-26,A,2.0,4,3,4
1987-07-26,A,2.0,5,3,4
1987-07-26,A,2.0,6,2,10
1987-07-26,A,2.0,7,2,19
1987-07-26,A,2.0,8,3,21
1987-07-26,A,2.0,9,3,32
1987-07-26,A,2.0,10,3,36
1987-07-26,A,2.0,11,3,48
1987-07-26,A,2.0,12,3,65
1987-07-26,A,2.5,4,2,2
1987-07-26,A,2.5,5,3,2
1987-07-26,A,2.5,6,2,7
1987-07-26,A,2.5,7,2,8
1987-07-26,A,2.5,8,1,15
1987-07-26,A,2.5,9,1,15
1987-07-26,A,2.5,10,1,16
1987-07-26,A,2.5,11,2,26
1987-07-26,A,2.5,12,2,27
1987-07-26,A,3.0,4,2,2
1987-07-26,A,3.0,5,2,2
1987-07-26,A,3.0,6,1,7
1987-07-26,A,3.0,7,1,7
1987-07-26,A,3.0,8,1,7
1987-07-26,A,3.0,9,1,11
