centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km
125,16,16,2010-06-18,3,Temporally clustered,64.76358710148692,20.66213599595169,2047.9355680580168,-655.7791513625283
126,16,16,2010-06-19,3,Temporally clustered,27.178828115833078,25.90883956160068,-1774.192346625232,-104.03326674236573
127,16,16,2010-06-19,3,Temporally clustered,46.73779188804428,21.88921752842353,179.81446995209205,-675.4112753514144
128,16,16,2010-06-19,3,Temporally clustered,60.51944054929661,37.493504621735546,1369.4446571620874,1145.5492097862402
129,16,16,2010-06-19,3,Temporally clustered,65.67991365117024,20.344179060379847,2146.2193328900457,-676.1215874823796
130,16,16,2010-06-20,3,Temporally clustered,33.22279845278893,23.58725768256529,-1199.6309678273963,-433.08122062375327
131,16,16,2010-06-20,3,Temporally clustered,61.306466743661,35.53322579537472,1473.0762341953096,939.3592222354234
132,16,16,2010-06-20,3,Temporally clustered,65.92709128837457,20.364711288403623,2171.123254241871,-669.7184583218236
133,16,16,2010-06-21,3,Temporally clustered,31.388487665867316,22.737713143108024,-1394.4237951668802,-508.42445865191894
134,16,16,2010-06-21,3,Temporally clustered,61.4958733603415,32.55153153133924,1541.2415935331585,612.6804642373203
135,16,16,2010-06-21,3,Temporally clustered,66.15495147777673,20.898037102519865,2185.9596058787433,-606.7788690540715
136,16,16,2010-06-22,3,Temporally clustered,29.903603180794683,21.982819316231662,-1554.1398621163491,-574.8718903804396
137,16,16,2010-06-22,3,Temporally clustered,47.75435305904237,12.77067848823929,301.622788541012,-1678.3917441133137
138,16,16,2010-06-22,3,Temporally clustered,61.7697431601065,31.19376028634405,1589.1561305421226,466.238684464275
139,16,16,2010-06-22,3,Temporally clustered,66.13720317516463,20.84995260277301,2184.9195853952197,-612.4081005600159
140,17,17,2010-07-08,4,Mixed,50.76873494093843,34.841724195750984,528.2248623112215,771.2294818048433
141,17,17,2010-07-08,4,Mixed,37.08422930431458,18.012667133816116,-840.3406103037336,-1079.8310414299601
142,17,17,2010-07-08,4,Mixed,47.33669360831891,15.95082247291858,251.4827010850878,-1329.7569980251544
143,17,17,2010-07-09,4,Mixed,50.82739185460008,35.16317525699358,531.5969315577872,807.0728282484433
144,17,17,2010-07-09,4,Mixed,37.096866471138654,18.013254198025077,-838.9990024900877,-1079.8457832021795
145,17,17,2010-07-10,4,Mixed,48.97510489842964,34.48358051127957,365.63643837310053,724.6827971564323
146,17,17,2010-07-11,4,Mixed,46.67879597055472,35.09364191888751,153.3808632149056,787.103243680536
147,17,17,2010-07-11,4,Mixed,64.05563786172364,30.519945234059083,1814.9854507398973,424.5149210340617
148,17,17,2010-07-12,4,Mixed,46.4258376518487,34.882295310889816,130.59213703452738,763.3937247991413
149,17,17,2010-07-13,4,Mixed,46.78161818944116,33.169582486489574,166.3499833096617,574.1550165373332
150,18,18,2010-07-16,3,Temporally clustered,24.863073424383053,37.58394360892962,-1767.8047129660827,1219.7972888411643
151,18,18,2010-07-16,3,Temporally clustered,33.04300005495908,43.81951592133374,-967.8122992928617,1803.0750743342237
