"grid_id","lon","lat","x_km","y_km","n_days","mean_tmax","std_tmax","cv_tmax","mean_tmax_z","cv_tmax_z","std_tmax_z","pred_intensity_x1e6_baseline","pred_intensity_x1e6_variant1","pred_intensity_x1e6_variant2","pred_intensity_x1e6_variant3"
517,36.5,20.5,-887.225976059112,-801.290642963905,15738,37.4860160285658,2.71195956190915,0.0723458998641662,1.1366285401498,-0.897922201929258,-0.803894448621393,43.7687993935041,42.6324917220544,36.2257300686646,42.8050657074439
518,37.5,20.5,-783.086179264116,-807.69002475403,15738,33.142625192324,2.72821203085722,0.0823173184087145,0.409407144985612,-0.771631270206249,-0.794582603693835,29.1539588242998,28.2514599749375,33.3172679220277,28.3051152849519
519,38.5,20.5,-678.856445293178,-813.28859889649,15738,30.2938921406424,2.03988172652967,0.0673364028979611,-0.0675611275925762,-0.961368945890429,-1.18896114847489,23.6412983719798,21.4496599339183,36.6817064680639,21.5546483381295
520,39.5,20.5,-574.548791478567,-818.086720101701,15738,31.6020981873107,1.66191056336286,0.0525886146392068,0.1514740599577,-1.14815399675664,-1.40551955998426,27.0654186933825,23.7744922143537,40.3180704793795,23.9627405814424
521,40.5,20.5,-470.175224092902,-822.084691877966,15738,35.4890465547933,2.42052360231321,0.0682048078856119,0.802272507830658,-0.950370342781618,-0.970872553347734,35.1509487339553,33.3220745120138,35.6022705813437,33.4884188389025
522,41.5,20.5,-365.747740082661,-825.282766775739,15738,32.7105045328299,2.82886739303135,0.0864819247955088,0.337056440035366,-0.718885312497414,-0.736912158256415,26.0303728657741,25.4616173430139,30.8406889601953,25.4900815143921
523,42.5,20.5,-261.278328785643,-827.681146591151,15738,36.2958523724491,2.99639142099778,0.082554650879951,0.937357392996073,-0.768625385056942,-0.640929340196694,34.8959149579682,34.7204547567679,31.3540981666639,34.7821723969796
524,43.5,20.5,-156.77897363532,-829.279982528833,15738,37.8753241611597,3.09053191029051,0.0815975038824826,1.20181107011495,-0.780747931670159,-0.586991588308062,39.2563433147367,39.4455997704363,31.2007355085164,39.5224490736243
525,44.5,20.5,-52.2616538550381,-830.079375324038,15738,39.0218051838169,3.21405326013677,0.0823655708647149,1.39376835884641,-0.771020138740954,-0.516220085302177,42.3874672548342,43.0821033124326,30.6643353663213,43.1565945094795
526,45.5,20.5,52.2616538550381,-830.079375324038,15738,39.6844586278935,3.32534638493634,0.0837946768057713,1.50471756426692,-0.752920094096295,-0.452454738452496,43.8798393669283,45.0267892969569,29.9938703542439,45.0879167176943
527,46.5,20.5,156.77897363532,-829.279982528833,15738,40.0581896886512,3.40817138465055,0.085080514400183,1.56729199831337,-0.736634584956625,-0.405000191335481,44.3652961277228,45.8379121325757,29.3683839588977,45.8850447866161
528,47.5,20.5,261.278328785644,-827.681146591151,15738,40.8548207393912,3.4100817296516,0.0834682827616394,1.70067330476093,-0.757053970109834,-0.403905660008286,46.8538175091258,48.4947408169444,29.3630858115942,48.5629956883123
529,48.5,20.5,365.747740082661,-825.282766775739,15738,41.0744475924479,3.38977682392313,0.0825276302570744,1.7374458063656,-0.768967609147083,-0.415539346804823,47.0727509341372,48.6807447313785,29.2159872845598,48.7612177597098
530,49.5,20.5,470.175224092902,-822.084691877966,15738,41.0853546168998,3.33175705836639,0.0810935451192607,1.73927198822168,-0.787130716774697,-0.448781745933474,46.5459694534701,47.9479138467923,29.1732235265263,48.0455802642526
