centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km,nearest_grid_id,nearest_grid_lon,nearest_grid_lat,mean_tmax,std_tmax,cv_tmax,mean_tmax_z,cv_tmax_z,nearest_grid_dist_km
67,10,10,2001-08-07,4,Mixed,37.68795343568742,33.49592949720652,-679.5060390978163,630.243599215591,1168,37.5,33.5,32.05338064684076,5.3200387062847305,0.16597434027006708,0.2270330580322344,0.28790937477235,17.46040489591812
68,10,10,2001-08-07,4,Mixed,25.81684606106649,18.505348672042704,-2018.4223628362122,-903.642718156479,406,25.5,18.5,35.83233954894647,2.85810591527623,0.07976330742713848,0.8597506440543345,-0.8039785661354113,33.21684892614385
69,10,10,2001-08-07,4,Mixed,51.80124347944548,39.13522412990466,590.2727051322594,1250.906460640548,1482,51.5,39.5,21.991946497204676,5.3771856615814375,0.24450703634918872,-1.457570159941576,1.2825489352564075,48.26814359591946
70,10,10,2001-08-08,4,Mixed,37.0817583764274,33.90590486372263,-732.3290263723892,679.2838020625474,1168,37.5,33.5,32.05338064684076,5.3200387062847305,0.16597434027006708,0.2270330580322344,0.28790937477235,59.24792454668517
71,10,10,2001-08-08,4,Mixed,25.810804577124877,18.505246374923864,-2019.0505805056387,-903.5613971389279,406,25.5,18.5,35.83233954894647,2.85810591527623,0.07976330742713848,0.8597506440543345,-0.8039785661354113,32.58339026052969
72,10,10,2001-08-08,4,Mixed,51.65227406612645,39.11133226965212,577.5553671318187,1247.494252412892,1482,51.5,39.5,21.991946497204676,5.3771856615814375,0.24450703634918872,-1.457570159941576,1.2825489352564075,45.0995449962435
73,10,10,2001-08-09,4,Mixed,36.685396023893,33.88625664179784,-769.044030189239,679.6571528288566,1167,36.5,33.5,29.50221986039831,5.386619652475449,0.182583537034312,-0.2001121785705407,0.49826970867630427,46.294434620218574
74,10,10,2001-08-09,4,Mixed,26.03655227481119,19.002583280402938,-1989.0179354690388,-851.9570031134505,457,26.5,19.5,35.76587923413266,3.019981898416657,0.08443751315736088,0.8486230792819759,-0.7447783837242986,72.71069448752587
75,10,10,2001-08-09,4,Mixed,51.64753863247648,39.09335224499321,577.2829164358976,1245.4852576873443,1482,51.5,39.5,21.991946497204676,5.3771856615814375,0.24450703634918872,-1.457570159941576,1.2825489352564075,46.88859990318741
76,10,10,2001-08-10,4,Mixed,36.699519432875725,33.67664664877774,-769.5439709301446,656.3652652311225,1167,36.5,33.5,29.50221986039831,5.386619652475449,0.182583537034312,-0.2001121785705407,0.49826970867630427,27.04689239017692
